[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.000529s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | SQL: SELECT * FROM `hd_type_attr`  [ RunTime:0.000154s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.000382s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | SQL: SELECT * FROM `hd_goods_list` WHERE gid = 3  [ RunTime:0.000159s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | NOTIC: [2] Invalid argument supplied for foreach() ListGoodsAction.class.php 第 114 行.
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Tag[ view_template ] --START--
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Run LocationTemplate Behavior [ RunTime:0.000082s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Tag[ view_template ] --END-- [ RunTime:0.000114s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Tag[ view_parse ] --START--
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Run ParseTemplate Behavior [ RunTime:0.008536s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008601s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Tag[ view_filter ] --START--
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Run ContentReplace Behavior [ RunTime:0.000116s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Run TokenBuild Behavior [ RunTime:0.000074s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000031s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Run ShowRuntime Behavior [ RunTime:0.000071s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000374s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Tag[ view_end ] --START--
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Run ShowPageTrace Behavior [ RunTime:0.000039s ]
[ 2013-01-25T00:00:11+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=3 | INFO: Tag[ view_end ] --END-- [ RunTime:0.000067s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Tag[ route_check ] --START--
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Run CheckRoute Behavior [ RunTime:0.000166s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Tag[ route_check ] --END-- [ RunTime:0.000420s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Tag[ app_begin ] --START--
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000148s ]
[ 2013-01-25T00:00:14+08:00 ] /thinkmao/Admin.php/ListGoods/good_attr_edit_show?id=2 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000227s ]
