[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000137s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000069s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000196s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000084s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000172s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000177s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000283s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000102s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000185s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000093s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000182s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000084s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000172s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000082s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000181s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000221s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000432s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000146s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000481s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000273s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000323s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000098s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000189s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000121s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000218s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000087s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000187s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000083s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id`,`cid` FROM `hd_goods`  [ RunTime:0.000172s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | SQL: SELECT `id` FROM `hd_goods` WHERE id in ()  [ RunTime:0.000084s ]
[ 2013-02-01T14:55:14+08:00 ] /thinkmao/Index.php/List/index?cid=15 | NOTIC: [2] Invalid argument supplied for foreach() common.php 第 133 行.
