[ 2013-01-31T10:31:33+08:00 ] /thinkmao/Index.php/Order/index | INFO: Tag[ view_end ] --END-- [ RunTime:-0.014259s ]
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Tag[ route_check ] --START--
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Run CheckRoute Behavior [ RunTime:0.000151s ]
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Tag[ route_check ] --END-- [ RunTime:0.000436s ]
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Tag[ app_begin ] --START--
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000149s ]
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000256s ]
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SHOW COLUMNS FROM `hd_goods` [ RunTime:0.001509s ]
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SHOW COLUMNS FROM `hd_goods_attr` [ RunTime:0.000664s ]
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SHOW COLUMNS FROM `hd_type_attr` [ RunTime:0.000931s ]
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SHOW COLUMNS FROM `hd_brand` [ RunTime:0.000948s ]
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SHOW COLUMNS FROM `hd_goods_intro` [ RunTime:0.000926s ]
[ 2013-01-31T10:31:38+08:00 ] /thinkmao/Index.php/Order/put_order | SQL: SHOW COLUMNS FROM `hd_goods_list` [ RunTime:0.000945s ]
